Losses: 
0 of 468 | Loss: 0.8093377947807312
1 of 468 | Loss: 0.7522813081741333
2 of 468 | Loss: 0.7141635417938232
3 of 468 | Loss: 0.6791412234306335
4 of 468 | Loss: 0.6491125822067261
5 of 468 | Loss: 0.616076648235321
6 of 468 | Loss: 0.5824595093727112
7 of 468 | Loss: 0.5429215431213379
8 of 468 | Loss: 0.5091270208358765
9 of 468 | Loss: 0.48688071966171265
10 of 468 | Loss: 0.4537254273891449
11 of 468 | Loss: 0.428546279668808
12 of 468 | Loss: 0.41099032759666443
13 of 468 | Loss: 0.40811580419540405
14 of 468 | Loss: 0.3724052906036377
15 of 468 | Loss: 0.39137348532676697
16 of 468 | Loss: 0.37534087896347046
17 of 468 | Loss: 0.3715011477470398
18 of 468 | Loss: 0.3822154402732849
19 of 468 | Loss: 0.35365280508995056
20 of 468 | Loss: 0.3460448980331421
21 of 468 | Loss: 0.33179551362991333
22 of 468 | Loss: 0.34053468704223633
23 of 468 | Loss: 0.3484806716442108
24 of 468 | Loss: 0.33400148153305054
25 of 468 | Loss: 0.31444889307022095
26 of 468 | Loss: 0.30527186393737793
27 of 468 | Loss: 0.3144095838069916
28 of 468 | Loss: 0.2921452522277832
29 of 468 | Loss: 0.2893737554550171
30 of 468 | Loss: 0.28410470485687256
31 of 468 | Loss: 0.27514082193374634
32 of 468 | Loss: 0.290944904088974
33 of 468 | Loss: 0.28362008929252625
34 of 468 | Loss: 0.2741122841835022
35 of 468 | Loss: 0.26761138439178467
36 of 468 | Loss: 0.269625186920166
37 of 468 | Loss: 0.2627440094947815
38 of 468 | Loss: 0.2603113055229187
39 of 468 | Loss: 0.2590334415435791
40 of 468 | Loss: 0.2445952296257019
41 of 468 | Loss: 0.251634418964386
42 of 468 | Loss: 0.23945802450180054
43 of 468 | Loss: 0.2342519760131836
44 of 468 | Loss: 0.23263254761695862
45 of 468 | Loss: 0.24913844466209412
46 of 468 | Loss: 0.24411320686340332
47 of 468 | Loss: 0.2347174882888794
48 of 468 | Loss: 0.23416054248809814
49 of 468 | Loss: 0.2189769446849823
50 of 468 | Loss: 0.23525914549827576
51 of 468 | Loss: 0.2431359589099884
52 of 468 | Loss: 0.24423551559448242
53 of 468 | Loss: 0.2750944495201111
54 of 468 | Loss: 0.2520712912082672
55 of 468 | Loss: 0.3372347354888916
56 of 468 | Loss: 0.3456553816795349
57 of 468 | Loss: 0.28013530373573303
58 of 468 | Loss: 0.33002811670303345
59 of 468 | Loss: 0.37283119559288025
60 of 468 | Loss: 0.3776097893714905
61 of 468 | Loss: 0.36663705110549927
62 of 468 | Loss: 0.3152371346950531
63 of 468 | Loss: 0.36156749725341797
64 of 468 | Loss: 0.3243335783481598
65 of 468 | Loss: 0.34958547353744507
66 of 468 | Loss: 0.30980420112609863
67 of 468 | Loss: 0.3161885142326355
68 of 468 | Loss: 0.3304191827774048
69 of 468 | Loss: 0.35760435461997986
70 of 468 | Loss: 0.30667731165885925
71 of 468 | Loss: 0.30614742636680603
72 of 468 | Loss: 0.2974618971347809
73 of 468 | Loss: 0.2924487888813019
74 of 468 | Loss: 0.29116910696029663
