Losses: 
0 of 468 | Loss: 0.8101099729537964
1 of 468 | Loss: 0.7529523372650146
2 of 468 | Loss: 0.7182412147521973
3 of 468 | Loss: 0.6869108080863953
4 of 468 | Loss: 0.6537816524505615
5 of 468 | Loss: 0.6240769624710083
6 of 468 | Loss: 0.5873832702636719
7 of 468 | Loss: 0.5472948551177979
8 of 468 | Loss: 0.516312837600708
9 of 468 | Loss: 0.48559969663619995
10 of 468 | Loss: 0.4597092866897583
11 of 468 | Loss: 0.43358314037323
12 of 468 | Loss: 0.4143792986869812
13 of 468 | Loss: 0.4079206585884094
14 of 468 | Loss: 0.3974968194961548
15 of 468 | Loss: 0.37921953201293945
16 of 468 | Loss: 0.38174986839294434
17 of 468 | Loss: 0.36794960498809814
18 of 468 | Loss: 0.36275550723075867
19 of 468 | Loss: 0.3564414381980896
20 of 468 | Loss: 0.3374252915382385
21 of 468 | Loss: 0.32348352670669556
22 of 468 | Loss: 0.32928547263145447
23 of 468 | Loss: 0.31077128648757935
24 of 468 | Loss: 0.3152965009212494
25 of 468 | Loss: 0.3090085983276367
26 of 468 | Loss: 0.2980075478553772
27 of 468 | Loss: 0.29115578532218933
28 of 468 | Loss: 0.3022359609603882
29 of 468 | Loss: 0.30558985471725464
30 of 468 | Loss: 0.29916271567344666
31 of 468 | Loss: 0.2958373725414276
32 of 468 | Loss: 0.28946083784103394
33 of 468 | Loss: 0.2973920702934265
34 of 468 | Loss: 0.294330358505249
35 of 468 | Loss: 0.2781561017036438
36 of 468 | Loss: 0.2869895100593567
37 of 468 | Loss: 0.26295140385627747
38 of 468 | Loss: 0.27353012561798096
39 of 468 | Loss: 0.2910767197608948
40 of 468 | Loss: 0.2810880243778229
41 of 468 | Loss: 0.2638130187988281
42 of 468 | Loss: 0.2543466091156006
43 of 468 | Loss: 0.25914931297302246
44 of 468 | Loss: 0.2663976550102234
45 of 468 | Loss: 0.27636057138442993
46 of 468 | Loss: 0.26361581683158875
47 of 468 | Loss: 0.24398353695869446
48 of 468 | Loss: 0.25813180208206177
49 of 468 | Loss: 0.2532312572002411
50 of 468 | Loss: 0.23144333064556122
51 of 468 | Loss: 0.2482416033744812
